company_number,titre_publication,reference_publication,date_depot,date_fin_exercice,langue,fichier
0200068636,PDF - Volledig schema kapitaalvennootschap,2007-41500093,2007-07-18T00:00:00Z,2006-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/BD312C5F-F70D-4EB4-8C71-DC5E6756E831/files/paper
0200068636,PDF - Schéma complet entreprise à capital,2006-39600198,2006-07-05T00:00:00Z,2005-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/C3EC8990-6695-4E52-B98B-884463F7F3CF/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2006-39600197,2006-07-05T00:00:00Z,2005-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/9347B54C-A4F4-47D5-81D1-8C0D99FD5DDF/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2005-55500089,2005-07-27T00:00:00Z,2004-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/E217C3EE-225A-4479-88FA-3C0B5425D3CF/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2004-44600224,2004-07-15T00:00:00Z,2003-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/2971D896-F598-473C-B74C-BD44CF71E1E8/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2003-50600100,2003-07-30T00:00:00Z,2002-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/29AFA289-0865-4072-AF1D-B4FA3A03796A/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2002-34300288,2002-07-09T00:00:00Z,2001-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/55B06260-6568-4FEA-9C9A-499D663F337A/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2001-36400077,2001-07-12T00:00:00Z,2000-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/C253FDAA-1382-456A-A94D-BD2A0DF56D1C/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2000-38200148,2000-07-12T00:00:00Z,1999-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/51F1363B-5468-4D3D-9C5C-CAF5CB5A3F09/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,1999-28302846,1999-07-06T00:00:00Z,1998-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/E0CC2A62-E265-45B6-8877-F91153460F68/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,1998-29502476,1998-07-08T00:00:00Z,1997-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/11B971A9-EB2B-48E7-ACE8-A42E76C99959/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1997-23000001,1997-06-30T00:00:00Z,1996-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/38C66B1D-8924-417A-A6B8-63A8FDC31A84/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1996-26501065,1996-07-03T00:00:00Z,1995-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/BE71E739-C1D5-4CE3-B47E-2CFACA139761/files/microfilm
